Driver Name	 Driver ID	 Round1	 Round2	 Round3	 Ave	   Cat
Mamat	 123	 100.00	 100.00	 100.00	 100.00	 Fast
mamat 	123	100.00	200.00	200.00	166.67	Average
mamat	456	100.00	100.00	100.00	100.00	Fast
mamat	256	200.00	200.00	210.00	203.33	Slow
newmart	222	200.00	100.00	90.00	130.00	Average
testing	456	181.00	182.00	128.00	163.67	Average
testing	457	198.00	199.00	189.00	195.33	Slow
testing	458	90.00	98.00	90.00	92.67	Fast
testing	459	99.00	98.00	90.00	95.67	Fast
testing	460	100.00	110.00	120.00	110.00	Fast
testing	461	300.00	300.00	300.00	300.00	Slow
Usin	462	200.00	200.00	200.00	200.00	Slow
langkawi	463	300.00	300.00	300.00	300.00	Slow
testing	464	200.00	200.00	200.00	200.00	Slow
testing	234	100.00	100.00	100.00	100.00	Fast
sofwan	112	200.00	220.00	222.00	214.00	Slow
Awang	346	120.00	120.00	120.00	120.00	Fast
